"stock","temperature","oxygen","sex","fresh_mass","wing_area","ID_fly","cell_area","cell_number","cell_area_log","cell_number_log","wing_area_log","fresh_mass_log","cell_area_cat","cell_area_delta","fresh_mass_delta","wing_area_delta"
"25182",25,21,"male",0.775,789825.122,"20191126-DRME-P1-H7",115.520882352941,6837.07660392442,2.06266049739618,3.8348704458464,5.89753094324259,-0.11069829749369,"small",-3.68208352043108,5.37049626104691,4.7482091629848
"25182",25,21,"male",0.753,754529.181,"20191126-DRME-P1-H8",120.852615384615,6243.38313737521,2.08225605345956,3.79541998707644,5.87767604053601,-0.123205023799299,"small",0.763358778625967,2.37933378653976,0.0671898999986542
"25182",25,21,"male",0.73,741803.521,"20191126-DRME-P1-H9",114.225565217391,6494.19873377923,2.05776331573354,3.81252557466003,5.87028889039356,-0.136677139879544,"small",-4.76208087792417,-0.747790618626798,-1.62051293229619
"25182",25,21,"male",0.739,759401.66,"20191126-DRME-P2-A1",119.021515151515,6380.37298578561,2.07562547456055,3.80484606758225,5.8804715421428,-0.131355561605174,"small",-0.763358778625955,0.475866757307952,0.713387944626387
"25182",25,21,"male",0.729,763238.737,"20191126-DRME-P2-A2",126.700322580645,6023.96838030303,2.10277772060417,3.77988268359504,5.88266040419921,-0.137272471682025,"small",5.63900517114011,-0.88375254928621,1.22226887658854
"25182",25,21,"male",0.717,754861.395,"20191126-DRME-P2-A3",122.7409375,6150.03771663387,2.08898943611853,3.78887777920237,5.8778672153209,-0.1444808443322,"small",2.337786259542,-2.5152957171992,0.111248794290053
"25182",25,21,"male",0.724,733863.596,"20191126-DRME-P2-A5",119.021515151515,6165.80619954121,2.07562547456055,3.78998987008355,5.8656153446441,-0.140261433802853,"small",-0.763358778625955,-1.56356220258329,-2.67352188512918
"25182",25,21,"male",0.714,727178.702,"20191126-DRME-P2-A6",109.103055555556,6665.06266297665,2.03783691367115,3.82380423687922,5.86164115055037,-0.146301788223826,"small",-9.03307888040712,-2.92318150917744,-3.5600860819874
"25182",25,21,"male",0.776,750662.574,"20191126-DRME-P2-A8",124.689206349206,6020.26908325717,2.09582886064884,3.77961590301232,5.87544476366116,-0.110138278741812,"small",3.96219556524899,5.50645819170632,-0.44560736043977
"25182",25,21,"male",0.766,753515.927,"20191126-DRME-P2-A9",130.923666666667,5755.38362302716,2.11701815971878,3.76007427667323,5.87709243639201,-0.115771230367396,"small",9.16030534351144,4.14683888511216,-0.0671898999986653
"25182",25,10,"male",0.629,639326.884,"20191126-DRME-P3-B11",109.103055555556,5859.84398644503,2.03783691367115,3.76788605343652,5.80572296710767,-0.201349354554731,"small",-9.03307888040712,-14.4799456152277,-15.2111723172673
"25182",25,10,"male",0.588,665597,"20191126-DRME-P3-B12",110.639718309859,6015.8956491187,2.04391106138334,3.77930029443781,5.82321135582116,-0.230622673923862,"small",-7.75185463928609,-20.0543847722638,-11.7271762669317
"25182",25,10,"male",0.653,680290.392,"20191126-DRME-P3-B8",113.846666666667,5975.49679686128,2.05632031936516,3.77637401793254,5.8326943372977,-0.185086818724926,"small",-5.0779953534683,-11.2168592794018,-9.77850882693888
"25182",25,10,"male",0.634,684695.824,"20191126-DRME-P3-B9",115.520882352941,5927.03076754648,2.06266049739618,3.77283718169169,5.83549767908787,-0.197910742118267,"small",-3.68208352043108,-13.8001359619307,-9.19425150245572
"25182",25,10,"male",0.604,662526.491,"20191126-DRME-P3-C1",108.702305555556,6094.87064339584,2.03623875548866,3.78496449265242,5.82120324814108,-0.218963061378868,"small",-9.36721245213018,-17.8789938817131,-12.1343933964076
"25182",25,10,"male",0.627,636152.978,"20191126-DRME-P3-C3",110.639718309859,5749.77040540162,2.04391106138334,3.7596505031839,5.80356156456725,-0.202732459169284,"small",-7.75185463928609,-14.7518694765466,-15.6321021665355
"25182",25,10,"male",0.64,662445.25,"20191126-DRME-P3-C5",109.103055555556,6071.73874853286,2.03783691367115,3.78331307670306,5.82114999037421,-0.193820026016113,"small",-9.03307888040712,-12.9843643779742,-12.1451677425554
"25182",25,10,"male",0.61,671610.618,"20191126-DRME-P3-C6",109.103055555556,6155.74526836248,2.03783691367115,3.78928063993893,5.82711755361008,-0.214670164989233,"small",-9.03307888040712,-17.0632222977566,-10.9296380543015
"25182",25,10,"male",0.608,680355.015,"20191126-DRME-P3-C8",110.639718309859,6149.28368756858,2.04391106138334,3.78882452900231,5.83273559038566,-0.216096420727265,"small",-7.75185463928609,-17.3351461590755,-9.76993839364652
"25182",17,21,"male",0.737,888820.377,"20191204-DRME-P5-H11",135.649293103448,6552.34064745307,2.13241753490505,3.8163964677303,5.94881400263535,-0.132532512140949,"small",13.1003937775744,0.203942895989107,17.8771606081162
"25182",17,21,"male",0.815,906422.06,"20191204-DRME-P5-H12",135.151034482759,6706.73416203583,2.13081937425549,3.82651109234796,5.95733046660345,-0.0888423912600234,"small",12.6849603837558,10.8089734874235,20.2115314975048
"25182",17,21,"male",0.788,912045.076,"20191204-DRME-P5-H7",135.649293103448,6723.5520004108,2.13241753490505,3.82759876808817,5.96001630299322,-0.103473782510445,"small",13.1003937775744,7.13800135961931,20.9572672808936
"25182",17,21,"male",0.772,931082.501,"20191204-DRME-P5-H8",138.029105263158,6745.55195605198,2.13997067279549,3.82901749168919,5.96898816448468,-0.112382699664264,"small",15.0846112122687,4.96261046906865,23.4820491854943
"25182",17,21,"male",0.804,919937.967,"20191204-DRME-P5-H9",143.048345454545,6430.95845727427,2.15548283897374,3.80827570413496,5.96375854310871,-0.0947439512515487,"small",19.2695061654421,9.31339225016996,22.0040384892784
"25182",17,21,"male",0.8219,946534.261,"20191204-DRME-P6-A1",139.977857142857,6762.02851165235,2.14605934081223,3.83007699760798,5.97613633842021,-0.0851810195525269,"small",16.7094232546042,11.7471108089735,25.5312929273466
"25182",17,21,"male",0.714,888641.371,"20191204-DRME-P6-A3",138.029105263158,6438.07238557238,2.13997067279549,3.80875585530671,5.94872652810221,-0.146301788223826,"small",15.0846112122687,-2.92318150917744,17.853420469436
"25182",17,21,"male",0.794,898053.049,"20191204-DRME-P6-A4",133.350152542373,6734.54834417709,2.12499351682584,3.82830847486094,5.95330199168678,-0.100179497572904,"small",11.1834379508359,7.9537729435758,19.1016162893186
"25182",17,21,"male",0.748,895792.401,"20191204-DRME-P6-A5",133.350152542373,6717.59562266234,2.12499351682584,3.82721385718173,5.95220737400757,-0.126098402135539,"small",11.1834379508359,1.69952413324268,18.8018045677716
"25182",17,21,"male",0.764,922778.079,"20191204-DRME-P6-A6",160.564469387755,5747.08764970622,2.20564944843947,3.75944782067528,5.96509726911475,-0.11690664142431,"small",33.8739354918228,3.87491502379333,22.3806999014515
"25182",17,21,"male",0.722,889536.403,"20191204-DRME-P6-A7",143.048345454545,6218.43195860421,2.15548283897374,3.79368088668794,5.94916372566168,-0.141462802430361,"small",19.2695061654421,-1.83548606390211,17.9721214280813
"25182",17,21,"male",0.831,925714.154,"20191204-DRME-P6-A8",133.350152542373,6941.98046534554,2.12499351682584,3.84148338723736,5.9664769040632,-0.080398976215889,"small",11.1834379508359,12.9843643779741,22.7700881212633
"25182",17,10,"male",0.784,865159.322,"20191204-DRME-P7-B10",137.892403508772,6274.16231775932,2.13954034155587,3.79755575006388,5.93709609161975,-0.105683937315562,"small",14.9706333072062,6.59415363698164,14.7391835178448
"25182",17,10,"male",0.803,864839.052,"20191204-DRME-P7-B11",148.299377358491,5831.71060731689,2.17113932762758,3.7657959644245,5.93693529205208,-0.095284454721319,"small",23.647662236052,9.17743031951053,14.6967086610515
"25182",17,10,"male",0.746,860625.847,"20191204-DRME-P7-B12",133.218084745763,6460.27788676322,2.12456318558622,3.81025119943351,5.93481438501973,-0.127261172527331,"small",11.0733237035721,1.42760027192386,14.1379448710761
"25182",17,10,"male",0.736,934052.313,"20191204-DRME-P7-B7",145.553092592593,6417.26188267562,2.1630214374054,3.80734976281935,5.97037120022475,-0.133122185662501,"small",21.3578907131621,0.0679809653296948,23.8759116746526
"25182",17,10,"male",0.722,858023.194,"20191204-DRME-P7-B9",140.354767857143,6113.24579207256,2.14722717022217,3.78627185759165,5.93349902781382,-0.141462802430361,"small",17.0236803305492,-1.83548606390211,13.7927757529651
"25182",17,10,"male",0.733,893043.046,"20191204-DRME-P7-C1",140.275357142857,6366.35731456752,2.14698138309622,3.80389100993533,5.95087239303155,-0.134896025358872,"small",16.9574700109051,-0.339904826648552,18.4371795329613
"25182",17,10,"male",0.72,891003.627,"20191204-DRME-P7-C2",145.470740740741,6124.96796581214,2.16277565027945,3.78710382163944,5.9498794719189,-0.142667503568732,"small",21.2892281594572,-2.10740992522095,18.1667076499677
"25182",17,10,"male",0.739,875757.677,"20191204-DRME-P7-C3",140.275357142857,6243.13275572789,2.14698138309622,3.79540256998928,5.9423839530855,-0.131355561605174,"small",16.9574700109051,0.475866757307952,16.1447588476246
